#pose_pure,x;pose_pure,y;pose_pure,z;pose_pure,yaw;pose_pure,pitch;pose_pure,roll;imu_pure,dtheta;imu_pure,dphi;imu_pure,dpsi;loch_doppler_pure,vx;loch_doppler_pure,vy;loch_doppler_pure,vz;imu_pure,ddx;imu_pure,ddy;imu_pure,ddz;Transponder,002;Transponder,005;pose_noisy,x;pose_noisy,y;pose_noisy,z;pose_noisy,yaw;pose_noisy,pitch;pose_noisy,roll;imu_noisy,dtheta;imu_noisy,dphi;imu_noisy,dpsi;loch_doppler_noisy,vx;loch_doppler_noisy,vy;loch_doppler_noisy,vz;imu_noisy,ddx;imu_noisy,ddy;imu_noisy,ddz;Transponder,002;Transponder,005
21,2733326;0;0;0;0;0;0;0;0;3,999938726;0;0;0;0;9,81000042;135,1361587;340,7259232;21,11755254;-0,020909012;0,036453582;0,000231683;-1,12E-05;0,000338743;0,000350325;0,000106449;-9,08E-05;4,000052929;0;0;-0,1697575;-0,0753638;9,951459885;135,1361587;340,7259232
21,67333412;0;0;0;0;0;0;0;0;4,000052929;0;0;0,001142025;0;9,81000042;135,5306609;340,5397677;21,67128141;0,030638124;0,064257022;0,000160359;8,73E-05;1,15E-05;5,95E-05;3,12E-06;0,000158113;3,999938726;0;0;0,076873079;-0,050977677;9,749367714;135,5306609;340,5397677
22,07333374;0;0;0;0;0;0;0;0;4,000052929;0;0;0;0;9,81000042;135,9251953;340,3539805;22,00589798;0,065833174;-0,059351334;-0,000281624;0,000736675;9,70E-05;-1,31E-05;0,00019387;9,84E-05;3,999938726;0;0;-0,005769372;0,076714143;9,67287159;135,9251953;340,3539805
22,47333336;0;0;0;0;0;0;0;0;4,000052929;0;0;0;0;9,81000042;136,3197615;340,1685622;22,52663793;0,383260804;0,11995516;0,000652534;7,17E-05;-0,000448325;-0,000251926;0,000111728;4,13E-05;4,000052929;0;0;-0,023052543;-0,122904815;9,758755684;136,3197615;340,1685622
22,87333298;0;0;0;0;0;0;0;0;3,999938726;0;0;-0,001142025;0;9,81000042;136,7143593;339,9835134;22,87155491;-0,040478335;0,190522461;-4,26E-05;-0,000139383;-0,000304707;5,25E-05;0,000102195;-0,000249217;3,999938726;0;0;0,109494276;-0,065398544;9,936946869;136,7143593;339,9835134
23,2733326;0;0;0;0;0;0;0;0;3,999938726;0;0;0;0;9,81000042;137,1089884;339,7988347;23,26470623;0,076611048;-0,029757618;0,000155953;0,00042554;-0,00010794;-1,39E-05;-0,000241512;0,000173476;3,999938726;0;0;-0,109382741;0,079657719;9,712702751;137,1089884;339,7988347
23,67333412;0;0;0;0;0;0;0;0;4,000052929;0;0;0,001142025;0;9,81000042;137,5036486;339,6145266;23,63246091;-0,188054985;-0,052219412;0,000343768;-3,72E-05;0,000333922;0,000200318;6,35E-05;-0,000173559;3,999938726;0;0;0,098491654;0,211984605;9,825037956;137,5036486;339,6145266
24,07333374;0;0;0;0;0;0;0;0;4,000052929;0;0;0;0;9,81000042;137,8983395;339,4305899;24,04595742;0,090510736;-0,08137731;-0,00023744;0,00059502;-0,000113621;-2,10E-05;-0,00016446;1,38E-05;3,999938726;0;0;0,058815017;0,071022257;9,78053093;137,8983395;339,4305899
24,47333336;0;0;0;0;0;0;0;0;4,000052929;0;0;0;0;9,81000042;138,293061;339,2470251;24,56498742;-0,244146999;0,021107464;0,000232626;0,000573385;-0,00032061;-0,0004108;-5,74E-05;-4,62E-05;3,999938726;0;0;-0,05965732;-0,190033436;9,964659691;138,293061;339,2470251
24,87333298;0;0;0;0;0;0;0;0;3,999938726;0;0;-0,001142025;0;9,81000042;138,6878127;339,0638328;24,95417706;-0,007641931;-0,089111596;-0,000195074;-3,94E-05;0,00016165;-7,89E-05;-6,84E-05;-0,000158152;4,000052929;0;0;0,120950937;0,120532393;9,767009735;138,6878127;339,0638328
25,2733326;0;0;0;0;0;0;0;0;3,999938726;0;0;0;0;9,81000042;139,0825943;338,8810136;24,9193978;-0,015730764;-0,040383387;-3,92E-06;-0,000446274;-2,84E-05;5,36E-05;0,000300907;-0,000136466;4,000052929;0;0;-0,155559734;0,193071589;9,868632317;139,0825943;338,8810136
25,67333412;0;0;0;0;0;0;0;0;4,000052929;0;0;0,001142025;0;9,81000042;139,4774057;338,6985681;25,66091548;0,052807331;-0,162032944;0,000353191;-2,89E-05;-0,000125243;0,00017148;0,000114104;7,07E-06;3,999938726;0;0;-0,039100274;-0,114707991;9,796081543;139,4774057;338,6985681
26,07333374;0;0;0;0;0;0;0;0;4,000052929;0;0;0;0;9,81000042;139,8722466;338,516497;26,18783804;-0,163441346;-0,116656284;0,000482143;0,000340653;-1,03E-05;0,000237123;-0,000104922;0,000172686;4,000052929;0;0;-0,153575033;-0,070621334;9,728372574;139,8722466;338,516497
26,47333336;0;0;0;0;0;0;0;0;4,000052929;0;0;0;0;9,81000042;140,2671168;338,3348007;26,50355359;0,231132752;0,232919137;-3,29E-05;-3,67E-05;0,000238744;-0,000213509;-0,000341288;0,000160621;4,000052929;0;0;-0,083943747;-0,087792002;9,831272125;140,2671168;338,3348007
